artist,start,stage,url
Santa Fe Klan,4:45 PM,Coachella Stage,https://www.youtube.com/watch?v=dYTuZMRFhFY
Sublime,6:05 PM,Coachella Stage,https://www.youtube.com/watch?v=dYTuZMRFhFY
Blur,7:40 PM,Coachella Stage,https://www.youtube.com/watch?v=dYTuZMRFhFY
No Doubt,9:25 PM,Coachella Stage,https://www.youtube.com/watch?v=dYTuZMRFhFY
Tyler The Creator,11:40 PM,Coachella Stage,https://www.youtube.com/watch?v=dYTuZMRFhFY
Vampire Weekend,5:00 PM,Outdoor Theater,https://www.youtube.com/watch?v=F6A3iDbujrI
Blxst,6:10 PM,Outdoor Theater,https://www.youtube.com/watch?v=F6A3iDbujrI
Jon Batiste,7:25 PM,Outdoor Theater,https://www.youtube.com/watch?v=F6A3iDbujrI
JUNGLE,8:40 PM,Outdoor Theater,https://www.youtube.com/watch?v=F6A3iDbujrI
Gesaffelstein,10:40 PM,Outdoor Theater,https://www.youtube.com/watch?v=F6A3iDbujrI
Michael Bibi,11:45 PM,Outdoor Theater,https://www.youtube.com/watch?v=F6A3iDbujrI
Destroy Lonely,4:30 PM,Sahara,https://www.youtube.com/watch?v=7oLK1VcvROg
Purple Disco Machine,5:40 PM,Sahara,https://www.youtube.com/watch?v=7oLK1VcvROg
Grimes,7:10 PM,Sahara,https://www.youtube.com/watch?v=7oLK1VcvROg
Ice Spice,8:30 PM,Sahara,https://www.youtube.com/watch?v=7oLK1VcvROg
ISOKNOCK,9:30 PM,Sahara,https://www.youtube.com/watch?v=7oLK1VcvROg
LE SSERAFIM,10:50 PM,Sahara,https://www.youtube.com/watch?v=7oLK1VcvROg
Dom Dolla,11:55 PM,Sahara,https://www.youtube.com/watch?v=7oLK1VcvROg
RAYE,4:10 PM,Mojave,https://www.youtube.com/watch?v=UsXtPO4tUYE
Kevin Abstract,5:25 PM,Mojave,https://www.youtube.com/watch?v=UsXtPO4tUYE
Kenya Grace,6:10 PM,Mojave,https://www.youtube.com/watch?v=UsXtPO4tUYE
Bleachers,6:50 PM,Mojave,https://www.youtube.com/watch?v=UsXtPO4tUYE
Charlotte de Witte,8:05 PM,Mojave,https://www.youtube.com/watch?v=UsXtPO4tUYE
Coi Leray,9:50 PM,Mojave,https://www.youtube.com/watch?v=UsXtPO4tUYE
The Drums,10:45 PM,Mojave,https://www.youtube.com/watch?v=UsXtPO4tUYE
Young Fathers,4:00 PM,Gobi,https://www.youtube.com/watch?v=13QtsdFLVG4
thuy,4:20 PM,Gobi,https://www.youtube.com/watch?v=13QtsdFLVG4
The Last Dinner Party,5:30 PM,Gobi,https://www.youtube.com/watch?v=13QtsdFLVG4
Erika de Casier,6:20 PM,Gobi,https://www.youtube.com/watch?v=13QtsdFLVG4
Palace,6:45 PM,Gobi,https://www.youtube.com/watch?v=13QtsdFLVG4
Oneohtrix Point Never,8:00 PM,Gobi,https://www.youtube.com/watch?v=13QtsdFLVG4
Saint Levant,9:15 PM,Gobi,https://www.youtube.com/watch?v=13QtsdFLVG4
Kevin Kaarl,10:25 PM,Gobi,https://www.youtube.com/watch?v=13QtsdFLVG4
Orbital,11:40 PM,Gobi,https://www.youtube.com/watch?v=13QtsdFLVG4
The Aquabats,4:00 PM,Sonora,https://www.youtube.com/watch?v=LJKAKq574tk
Militarie Gun,4:50 PM,Sonora,https://www.youtube.com/watch?v=LJKAKq574tk
The Adicts,5:05 PM,Sonora,https://www.youtube.com/watch?v=LJKAKq574tk
Girl Ultra,5:55 PM,Sonora,https://www.youtube.com/watch?v=LJKAKq574tk
Depresión Sonora,6:15 PM,Sonora,https://www.youtube.com/watch?v=LJKAKq574tk
The Red Pears,7:15 PM,Sonora,https://www.youtube.com/watch?v=LJKAKq574tk
bar italia,8:15 PM,Sonora,https://www.youtube.com/watch?v=LJKAKq574tk
Brutalismus 3000,9:15 PM,Sonora,https://www.youtube.com/watch?v=LJKAKq574tk